pelicula_serie,imdb_id
Memento,0209144
Blade Runner,0083658
LA Confidential,0119488
Dunkirk,5013056
Iron Man 3,1300854
Inception,1375666
The dark knight rises,1345836
Animal Kingdom,1313092
The Matrix,0133093
Babe,0112431
Beethoven 2,0106375
The Mule,7959026
American Sniper,2179136
Insomnia,0278504
Triangle,1187064
Synecdoche NY,0383028
CSI,0247082
Jessica Jones,2357547
Humans,4122068
The Time Machine,0268695
The Leftovers,2699128
Girlmore girls,0238784
The Prestige,0482571
Shawshank redemption,0111161
The killing of a sacred deer,5715874
The lobster,3464902
Stalker,0079944
Dogtooth,1379182
mother!,5109784
mowgli,2388771
gone with the wind,0031381
the favourite,5083738
Incedies,1255953
beauty and the beast,0101414
The hunger games,1392170
the hunger games: catching fire,1951264
stalker,0079944
the perks of being a wallflower,1659337
lolita,0119558
the lord of the rings,0120737
downtown abbey,1606375
the little mermaid,0097757
star wars,0076759
la la land,3783958
moulin rouge!,0203009
up,1049413
toy story 3,0435761
pocahontas,0114148
atlantis,0230011
mulan,0120762
snowwhite,0029583
coco,2380307
toy story 4,1979376
pokemon detective pikachu,5884052
deadpool,1431045
the princess and the frog,0780521
